code	common_name	scientific_name	taxonomy_group	pre_mirna_count	genome_source	assembly_name	assembly_accession	genome_fasta_url	alias_url	mirgenedb_bed_url	supplement_fasta	supplement_bed	panel_status	notes
gmo	Cod	Gadus morhua	Fish	342	Ensembl	gadMor1	GCA_000231765.1	https://ftp.ensembl.org/pub/release-102/fasta/gadus_morhua/dna/Gadus_morhua.gadMor1.dna.toplevel.fa.gz		https://mirgenedb.org/static/data/gmo/gmo-all.bed			strict_exact	mirgenedb_context=Gadus_morhua.gadMor1.dna.toplevel; mirgenedb_locus=https://mirgenedb.org/show/gmo/Mir-133-P3-v1; exact_precursor_sequence_match=pass; reference_records=342; compared_rows=342; exact_matches=342; source_batch=original_71; genome_fasta_url_filled_from_public_archive
cpi	Western painted turtle	Chrysemys picta bellii	Reptile	303	UCSC	chrPic1	GCF_000241765.2	https://hgdownload.soe.ucsc.edu/goldenPath/chrPic1/bigZips/chrPic1.fa.gz		https://mirgenedb.org/static/data/cpi/cpi-all.bed			strict_exact	mirgenedb_context=chrPic1; mirgenedb_locus=https://mirgenedb.org/show/cpi/Mir-124-P2-v1; validation_source=UCSC chromInfo+chromAlias; ucsc_build=chrPic1; direct_matched=303; alias_matched=0; exact_precursor_sequence_match=pass; reference_records=303; compared_rows=303; exact_matches=303; source_batch=original_71
lpo	Atlantic horseshoe crab	Limulus polyphemus	Chelicerate	293	UCSC	GCF_000517525.1_Limulus_polyphemus-2.1.2_genomic	GCF_000517525.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/517/525/GCF_000517525.1/GCF_000517525.1.fa.gz	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/517/525/GCF_000517525.1/GCF_000517525.1.chromAlias.txt	https://mirgenedb.org/static/data/lpo/lpo-all.bed			strict_exact	mirgenedb_context=GCF_000517525.1_Limulus_polyphemus-2.1.2_genomic; mirgenedb_locus=https://mirgenedb.org/show/lpo/Mir-87-P2g; validation_source=UCSC GenArk chrom.sizes+chromAlias; ucsc_genark_base=https://hgdownload.soe.ucsc.edu/hubs/GCF/000/517/525/GCF_000517525.1/; direct_matched=293; alias_matched=0; exact_precursor_sequence_match=pass; reference_records=293; compared_rows=293; exact_matches=293; source_batch=original_71
gga	Chicken	Gallus gallus	Bird	286	UCSC	Gallus_gallus.GRCg6a	GCF_000002315.6	https://hgdownload.soe.ucsc.edu/goldenPath/galGal6/bigZips/galGal6.fa.gz	https://hgdownload.soe.ucsc.edu/goldenPath/galGal6/database/chromAlias.txt.gz	https://mirgenedb.org/static/data/gga/gga-all.bed			strict_exact	mirgenedb_context=Gallus_gallus.GRCg6a; mirgenedb_locus=https://mirgenedb.org/show/gga/Mir-1651; validation_source=UCSC chromInfo+chromAlias; ucsc_build=galGal6; direct_matched=0; alias_matched=286; exact_precursor_sequence_match=pass; reference_records=288; compared_rows=286; exact_matches=286; source_batch=original_71
cmi	Australian ghostshark	Callorhinchus milii	Fish	273	NCBI	GCA_000165045.2_Callorhinchus_milii-6.1.3	GCA_000165045.2	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_000165045.2/download?include_annotation_type=GENOME_FASTA		https://mirgenedb.org/static/data/cmi/cmi-all.bed			strict_exact	mirgenedb_context=GCA_000165045.2_Callorhinchus_milii-6.1.3; mirgenedb_locus=https://mirgenedb.org/show/cmi/Mir-128-P3; ncbi_assembly_name=Callorhinchus_milii-6.1.3; validation_source=NCBI assembly report; assembly_report=https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/045/GCA_000165045.2_Callorhinchus_milii-6.1.3/GCA_000165045.2_Callorhinchus_milii-6.1.3_assembly_report.txt; exact_precursor_sequence_match=pass; reference_records=273; compared_rows=273; exact_matches=273; source_batch=original_71
loc	Spotted gar	Lepisosteus oculatus	Fish	273	UCSC	LepOcu1	GCF_000242695.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/242/695/GCF_000242695.1/GCF_000242695.1.fa.gz	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/242/695/GCF_000242695.1/GCF_000242695.1.chromAlias.txt	https://mirgenedb.org/static/data/loc/loc-all.bed			strict_exact	mirgenedb_context=LepOcu1; mirgenedb_locus=https://mirgenedb.org/show/loc/Let-7-P2c3; validation_source=UCSC GenArk chrom.sizes+chromAlias; ucsc_genark_base=https://hgdownload.soe.ucsc.edu/hubs/GCF/000/242/695/GCF_000242695.1/; direct_matched=0; alias_matched=273; exact_precursor_sequence_match=pass; reference_records=275; compared_rows=273; exact_matches=273; source_batch=original_71
gja	Schlegels Japanese gecko	Gekko japonicus	Reptile	261	UCSC	GCF_001447785.1_Gekko_japonicus	GCF_001447785.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/001/447/785/GCF_001447785.1/GCF_001447785.1.fa.gz	https://hgdownload.soe.ucsc.edu/hubs/GCF/001/447/785/GCF_001447785.1/GCF_001447785.1.chromAlias.txt	https://mirgenedb.org/static/data/gja/gja-all.bed			strict_exact	mirgenedb_context=GCF_001447785.1_Gekko_japonicus; mirgenedb_locus=https://mirgenedb.org/show/gja/Mir-124-P2-v1; validation_source=UCSC GenArk chrom.sizes+chromAlias; ucsc_genark_base=https://hgdownload.soe.ucsc.edu/hubs/GCF/001/447/785/GCF_001447785.1/; direct_matched=261; alias_matched=0; exact_precursor_sequence_match=pass; reference_records=262; compared_rows=261; exact_matches=261; source_batch=original_71
sto	Cloudy Catshark	Scyliorhinus torazame	Fish	250	NCBI	GCA_003427355_STO_add	GCA_003427355.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_003427355.1/download?include_annotation_type=GENOME_FASTA		https://mirgenedb.org/static/data/sto/sto-all.bed			strict_exact	mirgenedb_context=GCA_003427355_STO_add; mirgenedb_locus=https://mirgenedb.org/show/sto/Mir-23-P4; ncbi_assembly_name=Storazame_v1.0; validation_source=NCBI assembly report; assembly_report=https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/427/355/GCA_003427355.1_Storazame_v1.0/GCA_003427355.1_Storazame_v1.0_assembly_report.txt; exact_precursor_sequence_match=pass; reference_records=250; compared_rows=250; exact_matches=250; source_batch=original_71
pbv	Burmese python	Python bivittatus	Reptile	247	NCBI	GCA_000186305.2_Python_molurus_bivittatus	GCA_000186305.2	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_000186305.2/download?include_annotation_type=GENOME_FASTA		https://mirgenedb.org/static/data/pbv/pbv-all.bed			strict_exact	mirgenedb_context=GCA_000186305.2_Python_molurus_bivittatus; mirgenedb_locus=https://mirgenedb.org/show/pbv/Mir-153-P2; ncbi_assembly_name=Python_molurus_bivittatus-5.0.2; validation_source=NCBI assembly report; assembly_report=https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/305/GCA_000186305.2_Python_molurus_bivittatus-5.0.2/GCA_000186305.2_Python_molurus_bivittatus-5.0.2_assembly_report.txt; exact_precursor_sequence_match=pass; reference_records=247; compared_rows=247; exact_matches=247; source_batch=original_71
mun	Microcaecilia	Microcaecilia unicolor	Amphibian	244	UCSC	GCA_901765095.2_aMicUni1.2	GCA_901765095.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/901/765/095/GCA_901765095.2/GCA_901765095.2.fa.gz	https://hgdownload.soe.ucsc.edu/hubs/GCA/901/765/095/GCA_901765095.2/GCA_901765095.2.chromAlias.txt	https://mirgenedb.org/static/data/mun/mun-all.bed			strict_exact	mirgenedb_context=GCA_901765095.2_aMicUni1.2; mirgenedb_locus=https://mirgenedb.org/show/mun/Let-7-P2c4; validation_source=UCSC GenArk chrom.sizes+chromAlias; ucsc_genark_base=https://hgdownload.soe.ucsc.edu/hubs/GCA/901/765/095/GCA_901765095.2/; direct_matched=244; alias_matched=0; exact_precursor_sequence_match=pass; reference_records=245; compared_rows=244; exact_matches=244; source_batch=original_71
spt	Tuatara	Sphenodon punctatus	Reptile	225	NCBI	GCA_003113815.1_ASM311381v1_TUATARA	GCA_003113815.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_003113815.1/download?include_annotation_type=GENOME_FASTA		https://mirgenedb.org/static/data/spt/spt-all.bed			strict_exact	mirgenedb_context=GCA_003113815.1_ASM311381v1_TUATARA; mirgenedb_locus=https://mirgenedb.org/show/spt/Mir-214; ncbi_assembly_name=ASM311381v1; validation_source=NCBI assembly report; assembly_report=https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/113/815/GCA_003113815.1_ASM311381v1/GCA_003113815.1_ASM311381v1_assembly_report.txt; exact_precursor_sequence_match=pass; reference_records=225; compared_rows=225; exact_matches=225; source_batch=original_71
bla	European lancelet	Branchiostoma lanceolatum	Lancelet	201	Ensembl Metazoa	BraLan2	GCA_900088365.1	https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-45/metazoa/fasta/branchiostoma_lanceolatum/dna/Branchiostoma_lanceolatum.BraLan2.dna_sm.toplevel.fa.gz		https://mirgenedb.org/static/data/bla/bla-all.bed			strict_exact	mirgenedb_context=BraLan2; mirgenedb_locus=https://mirgenedb.org/show/bla/Mir-10-P1-v1; exact_precursor_sequence_match=pass; reference_records=202; compared_rows=201; exact_matches=201; source_batch=original_71; genome_fasta_url_filled_from_public_archive
cbr	Roundworm	Caenorhabditis briggsae	Nematode	186	UCSC	CB4	GCF_000004555.2	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/004/555/GCF_000004555.2/GCF_000004555.2.fa.gz	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/004/555/GCF_000004555.2/GCF_000004555.2.chromAlias.txt	https://mirgenedb.org/static/data/cbr/cbr-all.bed			strict_exact	mirgenedb_context=CB4; mirgenedb_locus=https://mirgenedb.org/show/cbr/Mir-9-P15; validation_source=UCSC GenArk chrom.sizes+chromAlias; ucsc_genark_base=https://hgdownload.soe.ucsc.edu/hubs/GCF/000/004/555/GCF_000004555.2/; direct_matched=0; alias_matched=186; exact_precursor_sequence_match=pass; reference_records=186; compared_rows=186; exact_matches=186; source_batch=original_71
ebu	Inshore hagfish	Eptatretus burgeri	Fish	181	NCBI	Eburgeri_3	GCA_900186335.2	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_900186335.2/download?include_annotation_type=GENOME_FASTA		https://mirgenedb.org/static/data/ebu/ebu-all.bed			strict_exact	mirgenedb_context=Eburgeri_3; mirgenedb_locus=https://mirgenedb.org/show/ebu/Mir-135-P9; ncbi_assembly_name=Eburgeri_3.2; validation_source=NCBI assembly report; assembly_report=https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/186/335/GCA_900186335.2_Eburgeri_3.2/GCA_900186335.2_Eburgeri_3.2_assembly_report.txt; exact_precursor_sequence_match=pass; reference_records=181; compared_rows=181; exact_matches=181; source_batch=original_71
obi	California two-spot octopus	Octopus bimaculoides	Mollusc	176	UCSC	PRJNA270931_OBI	GCF_001194135.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/001/194/135/GCF_001194135.1/GCF_001194135.1.fa.gz	https://hgdownload.soe.ucsc.edu/hubs/GCF/001/194/135/GCF_001194135.1/GCF_001194135.1.chromAlias.txt	https://mirgenedb.org/static/data/obi/obi-all.bed			strict_exact	mirgenedb_context=PRJNA270931_OBI; mirgenedb_locus=https://mirgenedb.org/show/obi/Mir-12584-v1; validation_source=UCSC GenArk chrom.sizes+chromAlias; ucsc_genark_base=https://hgdownload.soe.ucsc.edu/hubs/GCF/001/194/135/GCF_001194135.1/; direct_matched=0; alias_matched=176; exact_precursor_sequence_match=pass; reference_records=176; compared_rows=176; exact_matches=176; source_batch=original_71
dme	Fruit fly	Drosophila melanogaster	Insect	161	UCSC	Drosophila_melanogaster_BDGP6	GCF_000001215.4	https://hgdownload.soe.ucsc.edu/goldenPath/dm6/bigZips/dm6.fa.gz	https://hgdownload.soe.ucsc.edu/goldenPath/dm6/database/chromAlias.txt.gz	https://mirgenedb.org/static/data/dme/dme-all.bed			strict_exact	mirgenedb_context=Drosophila_melanogaster_BDGP6; mirgenedb_locus=https://mirgenedb.org/show/dme/Mir-965; validation_source=UCSC chromInfo+chromAlias; ucsc_build=dm6; direct_matched=0; alias_matched=161; exact_precursor_sequence_match=pass; reference_records=161; compared_rows=161; exact_matches=161; source_batch=original_71
dan	Fruit fly	Drosophila ananassae	Insect	158	NCBI	Dana_caf1	GCF_000005115.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_000005115.1/download?include_annotation_type=GENOME_FASTA		https://mirgenedb.org/static/data/dan/dan-all.bed			strict_exact	mirgenedb_context=Dana_caf1; mirgenedb_locus=https://mirgenedb.org/show/dan/Mir-987; ncbi_assembly_name=dana_caf1; validation_source=NCBI assembly report; assembly_report=https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/115/GCF_000005115.1_dana_caf1/GCF_000005115.1_dana_caf1_assembly_report.txt; exact_precursor_sequence_match=pass; reference_records=158; compared_rows=158; exact_matches=158; source_batch=original_71
dya	Fruit fly	Drosophila yakuba	Insect	148	NCBI	Drosophila_yakuba.dyak_caf1.dna.toplevel	GCA_000005975.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_000005975.1/download?include_annotation_type=GENOME_FASTA		https://mirgenedb.org/static/data/dya/dya-all.bed			strict_exact	mirgenedb_context=Drosophila_yakuba.dyak_caf1.dna.toplevel; mirgenedb_locus=https://mirgenedb.org/show/dya/Mir-965; ncbi_assembly_name=dyak_caf1; validation_source=NCBI assembly report; assembly_report=https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/975/GCA_000005975.1_dyak_caf1/GCA_000005975.1_dyak_caf1_assembly_report.txt; exact_precursor_sequence_match=pass; reference_records=148; compared_rows=148; exact_matches=148; source_batch=original_71
esc	Hawaiian bobtail squid	Euprymna scolopes	Mollusc	148	NCBI	esc-GCA_024364805.1_ASM2436480v1	GCA_024364805.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_024364805.1/download?include_annotation_type=GENOME_FASTA		https://mirgenedb.org/static/data/esc/esc-all.bed			strict_exact	mirgenedb_context=esc-GCA_024364805.1_ASM2436480v1; mirgenedb_locus=https://mirgenedb.org/show/esc/Mir-33; ncbi_assembly_name=ASM2436480v1; validation_source=NCBI assembly report; assembly_report=https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/364/805/GCA_024364805.1_ASM2436480v1/GCA_024364805.1_ASM2436480v1_assembly_report.txt; exact_precursor_sequence_match=pass; reference_records=148; compared_rows=148; exact_matches=148; source_batch=original_71
cel	Roundworm	Caenorhabditis elegans	Nematode	145	UCSC	ce11	GCF_000002985.6	https://hgdownload.soe.ucsc.edu/goldenPath/ce11/bigZips/ce11.fa.gz	https://hgdownload.soe.ucsc.edu/goldenPath/ce11/database/chromAlias.txt.gz	https://mirgenedb.org/static/data/cel/cel-all.bed			strict_exact	mirgenedb_context=ce11; mirgenedb_locus=https://mirgenedb.org/show/cel/Bantam-P5b; validation_source=UCSC chromInfo+chromAlias; ucsc_build=ce11; direct_matched=145; alias_matched=0; exact_precursor_sequence_match=pass; reference_records=145; compared_rows=145; exact_matches=145; source_batch=original_71
bge	Cockroach	Blattella germanica	Insect	144	UCSC	Bger_2.0	GCA_000762945.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/762/945/GCA_000762945.2/GCA_000762945.2.fa.gz	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/762/945/GCA_000762945.2/GCA_000762945.2.chromAlias.txt	https://mirgenedb.org/static/data/bge/bge-all.bed			strict_exact	mirgenedb_context=Bger_2.0; mirgenedb_locus=https://mirgenedb.org/show/bge/Mir-282; validation_source=UCSC GenArk chrom.sizes+chromAlias; ucsc_genark_base=https://hgdownload.soe.ucsc.edu/hubs/GCA/000/762/945/GCA_000762945.2/; direct_matched=144; alias_matched=0; exact_precursor_sequence_match=pass; reference_records=144; compared_rows=144; exact_matches=144; source_batch=original_71
ava	Bdelloid rotifer	Adineta vaga	Rotifer	128	UCSC	GCA_021613535.1_ASM2161353v1_AVA	GCA_021613535.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/021/613/535/GCA_021613535.1/GCA_021613535.1.fa.gz	https://hgdownload.soe.ucsc.edu/hubs/GCA/021/613/535/GCA_021613535.1/GCA_021613535.1.chromAlias.txt	https://mirgenedb.org/static/data/ava/ava-all.bed			strict_exact	mirgenedb_context=GCA_021613535.1_ASM2161353v1_AVA; mirgenedb_locus=https://mirgenedb.org/show/ava/Mir-219-P13; validation_source=UCSC GenArk chrom.sizes+chromAlias; ucsc_genark_base=https://hgdownload.soe.ucsc.edu/hubs/GCA/021/613/535/GCA_021613535.1/; direct_matched=128; alias_matched=0; exact_precursor_sequence_match=pass; reference_records=128; compared_rows=128; exact_matches=128; source_batch=original_71
pdu	Dumerils clam worm	Platynereis dumerilii	Annelid	123	NCBI	GCA_026936325.1_EMBL_pdum_1.0	GCA_026936325.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_026936325.1/download?include_annotation_type=GENOME_FASTA		https://mirgenedb.org/static/data/pdu/pdu-all.bed			strict_exact	mirgenedb_context=GCA_026936325.1_EMBL_pdum_1.0; mirgenedb_locus=https://mirgenedb.org/show/pdu/Mir-7; ncbi_assembly_name=EMBL_pdum_1.0; validation_source=NCBI assembly report; assembly_report=https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/936/325/GCA_026936325.1_EMBL_pdum_1.0/GCA_026936325.1_EMBL_pdum_1.0_assembly_report.txt; exact_precursor_sequence_match=pass; reference_records=123; compared_rows=123; exact_matches=123; source_batch=original_71
aga	African malaria mosquito	Anopheles gambiae	Insect	114	UCSC	GCF_943734735.2_idAnoGambNW_F1_1_genomic	GCF_943734735.2	https://hgdownload.soe.ucsc.edu/hubs/GCF/943/734/735/GCF_943734735.2/GCF_943734735.2.fa.gz	https://hgdownload.soe.ucsc.edu/hubs/GCF/943/734/735/GCF_943734735.2/GCF_943734735.2.chromAlias.txt	https://mirgenedb.org/static/data/aga/aga-all.bed			strict_exact	mirgenedb_context=GCF_943734735.2_idAnoGambNW_F1_1_genomic; mirgenedb_locus=https://mirgenedb.org/show/aga/Mir-970; validation_source=UCSC GenArk chrom.sizes+chromAlias; ucsc_genark_base=https://hgdownload.soe.ucsc.edu/hubs/GCF/943/734/735/GCF_943734735.2/; direct_matched=114; alias_matched=0; exact_precursor_sequence_match=pass; reference_records=114; compared_rows=114; exact_matches=114; source_batch=original_71
