code	scientific_name	genome_source	reference_identifier	assembly_name	assembly_accession	genome_fasta_url	genome_fasta_records	genome_sequence_bases	genome_sequence_sha256	mirgenedb_bed_url	source_bed_rows	source_bed_bytes	source_bed_sha256	precursor_bed_rows	precursor_bed_sha256	panel_status
gmo	Gadus morhua	Ensembl	GCA_000231765.1	gadMor1	GCA_000231765.1	https://ftp.ensembl.org/pub/release-102/fasta/gadus_morhua/dna/Gadus_morhua.gadMor1.dna.toplevel.fa.gz	398859	832114588	de0dbe4df5f1ba5161fd814c0e93cc367879fe3e3858806c25ba7da1146f427c	https://mirgenedb.org/static/data/gmo/gmo-all.bed	3424	185751	2c157bfcde2e49c26ecdb2d9bc5d8786aecdb5a0c8f05a4be6424aee1affcf0a	342	fdb0cc34199d8fb52200ed05480cd87231cf849e771ee915e0d67129a2b493ae	strict_exact
cpi	Chrysemys picta bellii	UCSC	GCF_000241765.2	chrPic1	GCF_000241765.2	https://hgdownload.soe.ucsc.edu/goldenPath/chrPic1/bigZips/chrPic1.fa.gz	80984	2589745704	a4b02e34eab3b7d72bf16be13e2e15beaf6230f3feb0c0b74ec39fbb580b1f69	https://mirgenedb.org/static/data/cpi/cpi-all.bed	3037	149976	fe88bcbe45cafb44e3249556406e034fae98133988750db2cc82c5b704368839	303	f941ddd2fbd0f37dcdba32cc641f20525abe7371e09b30bd5448dcc90e0a501b	strict_exact
lpo	Limulus polyphemus	UCSC	GCF_000517525.1	GCF_000517525.1_Limulus_polyphemus-2.1.2_genomic	GCF_000517525.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/517/525/GCF_000517525.1/GCF_000517525.1.fa.gz	286605	1828226724	12423547abca4a460bd1eefdbc88def2d573795e80906611857d2d0ba4709bbd	https://mirgenedb.org/static/data/lpo/lpo-all.bed	2910	154716	11893255c13effb0d14c2ddbe6a975b50e8bf335fdf6017723638021797ce701	293	2fd9be3223aad6569bf9e2d7f9d1c2e4b97eb9c661c4ac5d001c9317131db701	strict_exact
gga	Gallus gallus	UCSC	GCF_000002315.6	Gallus_gallus.GRCg6a	GCF_000002315.6	https://hgdownload.soe.ucsc.edu/goldenPath/galGal6/bigZips/galGal6.fa.gz	464	1065365425	4e890d318bc2d5c715a5c3b82724d07fb51b9a805bf52f7e29c1f6bc7146229a	https://mirgenedb.org/static/data/gga/gga-all.bed	2860	127174	f8c00dab26d1c78e663a9bda7d8d864fbf46c1aba529152316927259c2673cf1	286	a40ce9a19af76e7c9342e636aa385bce9b22372fd5d031e893490e2e484e5db3	strict_exact
cmi	Callorhinchus milii	NCBI	GCA_000165045.2	GCA_000165045.2_Callorhinchus_milii-6.1.3	GCA_000165045.2	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_000165045.2/download?include_annotation_type=GENOME_FASTA	21203	974481817	7f9d683ebc96ea0714d19fa64db459189b35d43dcb1f41c80befa73890605e7c	https://mirgenedb.org/static/data/cmi/cmi-all.bed	2755	140397	89d79f299e50fb23d1ff18c4a7b936af78c853476620e2e8eba6dde5f867d31f	273	c633fd8923b2eba2512e5171ad4e2093d2afefe17886dc439a57702d9f4a72b1	strict_exact
loc	Lepisosteus oculatus	UCSC	GCF_000242695.1	LepOcu1	GCF_000242695.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/242/695/GCF_000242695.1/GCF_000242695.1.fa.gz	1925	945874548	7269508641d9c6730134a37878fe0fcebcd64eafd06e632ac9eb45c5cef2a08c	https://mirgenedb.org/static/data/loc/loc-all.bed	2726	127725	3009ffcb2b76fbcb8aa934de6be509f8da76936c15827bd809ca0771019b683e	273	03e5c5c5311faf83f6ee39517b46622a0843313fcdde61734529dd8c0ffe6754	strict_exact
gja	Gekko japonicus	UCSC	GCF_001447785.1	GCF_001447785.1_Gekko_japonicus	GCF_001447785.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/001/447/785/GCF_001447785.1/GCF_001447785.1.fa.gz	191500	2490274461	6ce6b5eafbd13a5173ec0bea0efa27631db6da20c6b68e8d276195af2db0ddec	https://mirgenedb.org/static/data/gja/gja-all.bed	2617	140553	3c997b25fc4ce4b78d159984fe53631c823fa5e4f23d278517b361195e76c19e	261	ca6844a5541b1c1fd306a3df044f875ad0e97eafc1eddeb006a58545a22b6a6e	strict_exact
sto	Scyliorhinus torazame	NCBI	GCA_003427355.1	GCA_003427355_STO_add	GCA_003427355.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_003427355.1/download?include_annotation_type=GENOME_FASTA	458049	4470980620	2a4dedbebbefb53dde655b5017d8e029954d5c2a545c493fa67f316cea22d68c	https://mirgenedb.org/static/data/sto/sto-all.bed	2497	132014	1b97c4d3878f510c2a87dc9beaada84a76168981f77144476641e634b29085d7	250	541e98d5da7e22518b348736920d05b1319ea37822d9ee1cb37470da2f3dde2a	strict_exact
pbv	Python bivittatus	NCBI	GCA_000186305.2	GCA_000186305.2_Python_molurus_bivittatus	GCA_000186305.2	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_000186305.2/download?include_annotation_type=GENOME_FASTA	39112	1435034535	131da430b8a0dab0315d4e109c7589c24bee80c34742f2123b04dfd4483bb9ac	https://mirgenedb.org/static/data/pbv/pbv-all.bed	2484	121614	3c87aca78483e49c709b70132a50bf5a34d94c1d5051bd6417f8cda976eb0f0e	247	c1567df57c6847c7561af083e064e27bcd17c0e6082b23e791c0068197f005bf	strict_exact
mun	Microcaecilia unicolor	UCSC	GCA_901765095.2	GCA_901765095.2_aMicUni1.2	GCA_901765095.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/901/765/095/GCA_901765095.2/GCA_901765095.2.fa.gz	1081	4685939421	55182da4087a508a61f46fd6b6dcc635f1ee10be836cb47ab5484f13c47c693a	https://mirgenedb.org/static/data/mun/mun-all.bed	2470	136797	807d294bc9b5f6fdce08f4f164f71fc921bfd4877537bd259d1e6e0d331224c9	244	10f836ed8bc6b85ba4646d2e2a086d90c3cd729424450515d9adab5cde148027	strict_exact
spt	Sphenodon punctatus	NCBI	GCA_003113815.1	GCA_003113815.1_ASM311381v1_TUATARA	GCA_003113815.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_003113815.1/download?include_annotation_type=GENOME_FASTA	16536	4272214985	fbaa88802d369c907cc55daccbe1b7fdfc8734f588f1a2ad6b21e4529f864c18	https://mirgenedb.org/static/data/spt/spt-all.bed	2272	124542	fc288b48407b4d103911cf13004051f3fc0076a5f023869ea78565760656d580	225	8829bda824d43bfb30997f9956481218839051e27d5d5c19d7aeb522b24eccfd	strict_exact
bla	Branchiostoma lanceolatum	Ensembl Metazoa	GCA_900088365.1	BraLan2	GCA_900088365.1	https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-45/metazoa/fasta/branchiostoma_lanceolatum/dna/Branchiostoma_lanceolatum.BraLan2.dna_sm.toplevel.fa.gz	10247	495353434	a3c5dffad31d32fdedd2a244c815bd089211fc1d88d8114e42ba7a7d6fc90471	https://mirgenedb.org/static/data/bla/bla-all.bed	2019	99885	8c4fb75620c1c7b1b7d7e9fc1fc9bbec3482ef6765b7b8b259b074591c073d13	201	903391c84833d641e8184a042f217a691f0fdec7d526ae488ca0b31b0ea072dc	strict_exact
cbr	Caenorhabditis briggsae	UCSC	GCF_000004555.2	CB4	GCF_000004555.2	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/004/555/GCF_000004555.2/GCF_000004555.2.fa.gz	367	108384165	89c18ab5a357c64219cfdfd7e01ca9dd6f3fdca99249c145bdf495312125fd19	https://mirgenedb.org/static/data/cbr/cbr-all.bed	1706	74120	5d3e6f6fbd671010d66b015a9e47cb35d64ada704b63d631169124dc80ae201c	186	f99a68d36f4720333d5e80abf1f82233238386ce0e17d8989dff5dfd49014bcb	strict_exact
ebu	Eptatretus burgeri	NCBI	GCA_900186335.2	Eburgeri_3	GCA_900186335.2	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_900186335.2/download?include_annotation_type=GENOME_FASTA	10846	2608383542	5edecd2e98ed59b8d5abd3a8b93e53286dd490ee0f5cb47a18c4bd953f7deb70	https://mirgenedb.org/static/data/ebu/ebu-all.bed	1827	101062	3438dc49f344d1c7c8777fc5195c0511f58ba096cf0cd392f531491909f5667c	181	3ff8bfdfe2e08a53755715901ddf9d64f36e23837b8c27611159516b30acc020	strict_exact
obi	Octopus bimaculoides	UCSC	GCF_001194135.1	PRJNA270931_OBI	GCF_001194135.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/001/194/135/GCF_001194135.1/GCF_001194135.1.fa.gz	151674	2338188782	48f01efe814a00dd6a0f6b52685018ef093cc964e5ca86029910ae2e34a303ad	https://mirgenedb.org/static/data/obi/obi-all.bed	1750	81921	43bfb86f881f4ef7ebbdd5ea0c4dc94f373e5caf10a45c9b9e26631ac9603009	176	eae1befd364dab3441589e96bd69c2d84edfafe59396c6c56ea9bc56fca942be	strict_exact
dme	Drosophila melanogaster	UCSC	GCF_000001215.4	Drosophila_melanogaster_BDGP6	GCF_000001215.4	https://hgdownload.soe.ucsc.edu/goldenPath/dm6/bigZips/dm6.fa.gz	1870	143726002	c81fd8add3f9b13f031dd9f72e98b6295641e8604f53268b5f2c047c70cffea0	https://mirgenedb.org/static/data/dme/dme-all.bed	1592	69938	28ef3edf4e0178a5b4b64cddbf80b256b64a0c0589ec6eaff6a0177b5e8e39de	161	13350185dd02c14eb6f8859796ce48835a17e7e2eae928d053aefca02effd6f8	strict_exact
dan	Drosophila ananassae	NCBI	GCF_000005115.1	Dana_caf1	GCF_000005115.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_000005115.1/download?include_annotation_type=GENOME_FASTA	13749	230993012	057631cd048bc677b994b636fe38aeaeb8812ddec25c92ecf161699e25586568	https://mirgenedb.org/static/data/dan/dan-all.bed	1565	85861	5b6a5590dc6d9e6ff71d62a5098fc84a59c8a89c91243737a747c1d57af0ce0e	158	73ad7029ac7952f06799c59573c9a1cc47ad5682238d06f4346eea19931ac347	strict_exact
dya	Drosophila yakuba	NCBI	GCA_000005975.1	Drosophila_yakuba.dyak_caf1.dna.toplevel	GCA_000005975.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_000005975.1/download?include_annotation_type=GENOME_FASTA	8122	165693946	77cba287d27211001931e862a0f6be14c2e8dba46fc30b5e95c9ef10be57027c	https://mirgenedb.org/static/data/dya/dya-all.bed	1469	64468	2a695d549f5908252428326e80ab44e0673777c9c6eef5a144bb284ec5c7bde6	148	49b61ba6244012b6d635511cf0308d06d62723378fabda934bb5f252f066b35b	strict_exact
esc	Euprymna scolopes	NCBI	GCA_024364805.1	esc-GCA_024364805.1_ASM2436480v1	GCA_024364805.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_024364805.1/download?include_annotation_type=GENOME_FASTA	1735	5116329061	d1b96dcfeb5e775f270178546389e909cb5179ae881e202431666199ff62b549	https://mirgenedb.org/static/data/esc/esc-all.bed	1476	79155	f71b7271b79dd9eaeed290f3c9ddd67081c377b1e6da6e08ff93d7c11e773b32	148	7e43c8edfdf3bf38e39ba5877953874d38c175fc67d012f7327feaa5855d1ab3	strict_exact
cel	Caenorhabditis elegans	UCSC	GCF_000002985.6	ce11	GCF_000002985.6	https://hgdownload.soe.ucsc.edu/goldenPath/ce11/bigZips/ce11.fa.gz	7	100286401	d2b4d36b59e8aaa0107ddd9497672befe8094cc801f829b8e985edd4dc610e57	https://mirgenedb.org/static/data/cel/cel-all.bed	1325	60639	b9f3b7dafd3e235bc5e9ad2fed1d2343021fc02e779d93f055755c465a8710b4	145	38e4b5f12ec258d7c9febb93315f8318bd2909434477c05d5545d6bc77032ea4	strict_exact
bge	Blattella germanica	UCSC	GCA_000762945.2	Bger_2.0	GCA_000762945.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/762/945/GCA_000762945.2/GCA_000762945.2.fa.gz	28065	1796331457	e5951a468f3e3d674484101d38205bf819de1119abbeeaa5cdda61cdd9511fa0	https://mirgenedb.org/static/data/bge/bge-all.bed	1455	70633	da90f81a5448602aab9313d579b96370f1ee30ee875c987717668f4cb685a5e4	144	d178eab6abd4f8171c2c9224204c334fe53fd051b6cd7d62584f2c9e9869f1e6	strict_exact
ava	Adineta vaga	UCSC	GCA_021613535.1	GCA_021613535.1_ASM2161353v1_AVA	GCA_021613535.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/021/613/535/GCA_021613535.1/GCA_021613535.1.fa.gz	6	100824805	698e441cb4d385d403a897f688e91ac0e1c0a07293d091d8c1419df67304b93a	https://mirgenedb.org/static/data/ava/ava-all.bed	1226	65328	2f5abd288b3ca642ff72c98b54dd4768f4acca71b4aa5b3d9a7dc1d38947b78a	128	082e964ecf651fd1f8c73579fb79fa264b6db55445812de4816409ae7b64710a	strict_exact
pdu	Platynereis dumerilii	NCBI	GCA_026936325.1	GCA_026936325.1_EMBL_pdum_1.0	GCA_026936325.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_026936325.1/download?include_annotation_type=GENOME_FASTA	330	1469601079	ff32a937893f63cd9e99308150a16e5eea17376be264c78a4f15c3a6c2fdbff4	https://mirgenedb.org/static/data/pdu/pdu-all.bed	1252	74848	04494dc8866d191fc5ada2dc41a5569e806a16bee9b1c5ea1b395af1d71db8ba	123	e24b75884d30b2073489860cd51b78ccd2bbe4696091c9ee9b26b64dd1805e78	strict_exact
aga	Anopheles gambiae	UCSC	GCF_943734735.2	GCF_943734735.2_idAnoGambNW_F1_1_genomic	GCF_943734735.2	https://hgdownload.soe.ucsc.edu/hubs/GCF/943/734/735/GCF_943734735.2/GCF_943734735.2.fa.gz	191	264466744	da6a61fe9b0f44236bb77634d1168c1da95633478e84dd068ef5324f495343a9	https://mirgenedb.org/static/data/aga/aga-all.bed	1138	60970	04023efd4887dc478efb663e4651ff22a6e1c021acb578da3864fb8a6226164a	114	ee802cab5c6d7940ec061e41435018d0f3bd82a4a1d271698b678c838bdb32a1	strict_exact
sme	Schmidtea mediterranea	NCBI	GCA_002600895.1	Sme_GCA_002600895.1_ASM260089v1_alt	GCA_002600895.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_002600895.1/download?include_annotation_type=GENOME_FASTA	1990	942041730	047555a66018d38653e7b73d8dabdb4b765a91b20f1908d0467cdb2eb4a6245d	https://mirgenedb.org/static/data/sme/sme-all.bed	1075	72373	dda2e96b06cc57b3adb008d7e2421ca47c2e2dd68c69945c29e5a73f28d6ed99	109	262aa0ddb5875333295fbe54d313685ad7798a5768d2745254433c9b819ae9df	strict_exact
cin	Ciona intestinalis	UCSC	GCF_000224145.1	ci3	GCF_000224145.1	https://hgdownload.soe.ucsc.edu/goldenPath/ci3/bigZips/ci3.fa.gz	1272	115227500	4e694b027b1dc537c33307803e1c40a10b077d367ad4991db8e8963d25d75b72	https://mirgenedb.org/static/data/cin/cin-all.bed	1098	47882	a1f16c86f209239022edaef22a6917480730d5acdbc8312b05da38937a32ce28	107	f73091e0a8bfb7845d685c7f0ba15ba76739a9586212490ba92681adc81b293a	strict_exact
lan	Lingula anatina	NCBI	GCF_001039355.1	LinAna_1.0	GCF_001039355.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_001039355.1/download?include_annotation_type=GENOME_FASTA	3830	425494968	6b17b5fcd75b75e3c39c8fcf6769faff2a79c1e1c43f1340d923241563a1c5ea	https://mirgenedb.org/static/data/lan/lan-all.bed	1060	53566	b379953100daa172ca21cc0e38f8f23bd932aa70950ad6bb0565604f74dc343a	106	eefb86d4a81bf0938cb36e0e04b772e91a46fe434a0e542a83331c99f69f44a1	strict_exact
dlo	Diachasmimorpha longicaudata	UCSC	GCF_034640455.1	GCF_034640455.1_iyDiaLong2_genomic	GCF_034640455.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/034/640/455/GCF_034640455.1/GCF_034640455.1.fa.gz	246	194452999	89dd3fd61978dab671714b55ef186c993e4e4d19788e7ce5af532444c1424e63	https://mirgenedb.org/static/data/dlo/dlo-all.bed	1040	53527	97ac15214ab5ad33df42eb38b28eab400b97fa86ed8a3a4f1979dc2d57198bff	104	ed834452111caad7646f166ba3144dccf670e2379545da759b321dc32790e61b	strict_exact
ofu	Owenia fusiformis	NCBI	GCA_903813345.2	GCA_903813345.2_Owenia	GCA_903813345.2	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_903813345.2/download?include_annotation_type=GENOME_FASTA	819	499544331	7351a5d09e21622b29f2de8292e68acd85e11d891127bcd77eaf46361c4850cd	https://mirgenedb.org/static/data/ofu/ofu-all.bed	983	58425	f8813efe9348a82040ba9c5842109a987956eb997c8f924eb970f4b970e3bdd9	98	d91cbe5247798c7e4e2306fed945d21f774eff25c566ff762d3e02084b9e1837	strict_exact
pve	Pictodentalium vernedei	NCBI	GCA_031216915.1	Pve_genome_chr_only	GCA_031216915.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_031216915.1/download?include_annotation_type=GENOME_FASTA	595	6018017311	6bf4d6789e57f979f18c93859bf30e2737fd43f628e04eb2c15be93395fdbd8a	https://mirgenedb.org/static/data/pve/pve-all.bed	982	52287	7571d6c9e6234fff43651cf5edd26e994fdd8ac23645e1c40777ec9fc1891744	97	444b40feae710178ad47b306ca31cb68e158391b26583c527538abceb1f885ab	strict_exact
llo	Lineus longissimus	NCBI	GCA_910592395.2	GCA_910592395.2_tnLinLong1	GCA_910592395.2	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_910592395.2/download?include_annotation_type=GENOME_FASTA	31	391180816	ba4a63572d3a98234dc8f8c013c15a9f25e411db32c00256d2d94fdba13e1a29	https://mirgenedb.org/static/data/llo/llo-all.bed	948	49544	a48365fe5c3dee4518a439ceaf9f92670b5f7fe61f77f0487af3f11b949c478b	95	242cbe68111a8805e2967c68b693949148724484fa4b82252ff6179d796b81b9	strict_exact
pfl	Ptychodera flava	NCBI	GCA_001465055.1	Pfl	GCA_001465055.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_001465055.1/download?include_annotation_type=GENOME_FASTA	218255	1228694352	d735e4bea5775147e801c4f1cf75345f6368982c101d5d947c0a1ed43cc8dbf7	https://mirgenedb.org/static/data/pfl/pfl-all.bed	891	43141	589495d0bf03dd01f0e733538bb8f568cc62a1a000305ca2d0c4d611fe970f9b	86	0cbf8c898fed7bd49897a060407f82d4c0dc2c7ed7e6b1bf93223c938d1efe3c	strict_exact
agr	Acanthopleura granulata	NCBI	GCA_016165875.1	GCA_016165875.1_ASM1616587v1_Acanthopleura_granulata	GCA_016165875.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_016165875.1/download?include_annotation_type=GENOME_FASTA	87	606536932	57cd5ba0d1a315485a624bdbcbc69696f34ca149d95633b18fe9b6ecfd1870cf	https://mirgenedb.org/static/data/agr/agr-all.bed	827	48456	b86a4d3710d70ac5911638010aa3292d7cc6a8be2662f2cb7cadb09be50b64c9	83	338656a21386abe212d295c711ccd481666c916dd00fe4e6fb26ab17815ab8c2	strict_exact
mom	Mopalia muscosa	NCBI	GCA_031763545.1	GCA_031763545.1_ASM3176354v1_genomic_Mom	GCA_031763545.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_031763545.1/download?include_annotation_type=GENOME_FASTA	162745	661939908	167cf3b1be9306e4a34b08bd8ca709192bad53a0a05d9603da3139f8e28f0023	https://mirgenedb.org/static/data/mom/mom-all.bed	821	43204	3299a13180aba8c4cb4a08d6dc4c4caf985261798edbdb10ee2d87e1b7bba538	83	4f2009d1e3a8df3620e77aa56639552bac8c2d7f7ccfbab1188fc9301722b71c	strict_exact
snu	Sipunculus nudus	NCBI	GCA_026874595.1	GCA_026874595.1_ASM2687459v1_Sipunculus_nudus	GCA_026874595.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_026874595.1/download?include_annotation_type=GENOME_FASTA	155	1426776566	89c3f17f96e639fae79c39b40ad9c85539013a8b33b2911da837bc0ecb10d4d3	https://mirgenedb.org/static/data/snu/snu-all.bed	847	44290	30a64801f13b4638b936d5c016b942823fb4f035e496467a55bbcb696c7434d4	83	49cb4af351a59283ba11f12a9177106fe2347111b2f621bc9282bfab5aed3fd9	strict_exact
dgr	Dimorphilus gyrociliatus	NCBI	GCA_904063045.1	GCA_904063045.1_Dgyrociliatus	GCA_904063045.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_904063045.1/download?include_annotation_type=GENOME_FASTA	349	77897245	150e3dc2a05cdf6830ae55a108225256246066f9a62e365c409a508c2e8df3b9	https://mirgenedb.org/static/data/dgr/dgr-all.bed	772	43824	6f63034e4d70eaebd529db108548eeec3936a96c9084f06e9478cf3a9652ac47	78	598ee875c3c3301f49da9b363331bb8b01b6dfce10973abab8dc92a04ef1c19b	strict_exact
npo	Nautilus pompilius	NCBI	GCA_018389105.1	GCA_018389105_NPO	GCA_018389105.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_018389105.1/download?include_annotation_type=GENOME_FASTA	2743	729019367	b08ba75a46db71fb661d702c3dc51b4ce1097754b4135fdc7e7c1d957032dd47	https://mirgenedb.org/static/data/npo/npo-all.bed	785	43163	6763d892742bd6f541dcb9770546420c2b48b352602fa93a82876eb6e264500c	78	d4480c4ec8fb9cf00611185cdf4812062b9de33810437ddcd6e93c6576fa5977	strict_exact
